id,sequenceNumber,text,awayScore,homeScore,scoringPlay,scoreValue,wallclock,atBatId,summaryType,outs,type.id,type.text,type.type,period.type,period.number,period.displayValue,team.id,pitchCount.balls,pitchCount.strikes,resultCount.balls,resultCount.strikes,participants,batOrder,type.alternativeText,bats.type,bats.abbreviation,bats.displayValue,atBatPitchNumber,pitchVelocity,trajectory,type.abbreviation,pitchCoordinate.x,pitchCoordinate.y,pitchType.id,pitchType.text,pitchType.abbreviation,hitCoordinate.x,hitCoordinate.y,alternativePlay,alternativeType.id,alternativeType.text,alternativeType.abbreviation,alternativeType.alternativeText,alternativeType.type,onFirst.athlete.id,onSecond.athlete.id,onThird.athlete.id
4018165630201050028,5,Pitch 4 : Ball In Play,1,0,False,0,2026-08-17 22:18:25+00:00,4018165630201,P,0,28,Home Run,home-run,Top,2,2nd Inning,30,2,1,2,1,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '4683371'}, 'type': 'batter'}]",4.0,Home Run,RIGHT,R,Right,4.0,96.0,F,HR,121.0,180.0,17,Four-seam FB,FF,51.0,23.0,,,,,,,,,
4018165630202010001,1,Shane McClanahan pitches to Gunnar Henderson,1,0,False,0,2026-08-17 22:18:44+00:00,4018165630202,A,1,1,Start Batter/Pitcher,start-batterpitcher,Top,2,2nd Inning,1,0,0,0,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '42507'}, 'type': 'batter'}]",5.0,Now at bat,LEFT,L,Left,,,,,,,,,,,,,,,,,,,,
4018165630202020005,2,Pitch 1 : Ball 1,1,0,False,0,2026-08-17 22:18:44+00:00,4018165630202,P,1,5,Ball,ball,Top,2,2nd Inning,30,0,0,1,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '42507'}, 'type': 'batter'}]",5.0,Walk,LEFT,L,Left,1.0,80.0,G,B,141.0,214.0,4,Curve,CU,,,,,,,,,,,
4018165630202030024,3,Pitch 2 : Ball In Play,1,0,False,0,2026-08-17 22:19:08+00:00,4018165630202,P,1,24,Ground Out,ground-out,Top,2,2nd Inning,30,1,0,1,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '42507'}, 'type': 'batter'}]",5.0,Ground Out,LEFT,L,Left,2.0,96.0,G,GRO,120.0,171.0,17,Four-seam FB,FF,116.0,144.0,,,,,,,,,
4018165630202990057,4,Henderson grounded out to shortstop.,1,0,False,0,2026-08-17 22:19:08+00:00,4018165630202,N,1,57,Play Result,play-result,Top,2,2nd Inning,1,1,0,1,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '42507'}, 'type': 'batter'}]",5.0,,LEFT,L,Left,2.0,,G,,120.0,171.0,,,,,,4018165630202030024,24,Ground Out,GRO,Ground Out,ground-out,,,
4018165630202990099,5,,1,0,False,0,2026-08-17 22:19:08+00:00,4018165630202,,1,99,End Batter/Pitcher,end-batterpitcher,Top,2,2nd Inning,1,1,0,1,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '42507'}, 'type': 'batter'}]",5.0,,LEFT,L,Left,2.0,,G,,120.0,171.0,,,,116.0,144.0,,,,,,,,,
4018165630203010001,1,Shane McClanahan pitches to Christian Encarnacion-Strand,1,0,False,0,2026-08-17 22:19:29+00:00,4018165630203,A,2,1,Start Batter/Pitcher,start-batterpitcher,Top,2,2nd Inning,1,0,0,0,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '5012106'}, 'type': 'batter'}]",6.0,Now at bat,RIGHT,R,Right,,,,,,,,,,,,,,,,,,,,
4018165630203020005,2,Pitch 1 : Ball 1,1,0,False,0,2026-08-17 22:19:29+00:00,4018165630203,P,2,5,Ball,ball,Top,2,2nd Inning,30,0,0,1,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '5012106'}, 'type': 'batter'}]",6.0,Walk,RIGHT,R,Right,1.0,82.0,P,B,161.0,181.0,4,Curve,CU,,,,,,,,,,,
4018165630203030005,3,Pitch 2 : Ball 2,1,0,False,0,2026-08-17 22:19:45+00:00,4018165630203,P,2,5,Ball,ball,Top,2,2nd Inning,30,1,0,2,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '5012106'}, 'type': 'batter'}]",6.0,Walk,RIGHT,R,Right,2.0,81.0,P,B,97.0,198.0,4,Curve,CU,,,,,,,,,,,
4018165630203040021,4,Pitch 3 : Strike 1 Foul,1,0,False,0,2026-08-17 22:20:01+00:00,4018165630203,P,2,21,Foul Ball,foul-ball,Top,2,2nd Inning,30,2,0,2,1,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '5012106'}, 'type': 'batter'}]",6.0,,RIGHT,R,Right,3.0,96.0,P,F,135.0,158.0,17,Four-seam FB,FF,154.0,162.0,,,,,,,,,
4018165630203050005,5,Pitch 4 : Ball 3,1,0,False,0,2026-08-17 22:20:22+00:00,4018165630203,P,2,5,Ball,ball,Top,2,2nd Inning,30,2,1,3,1,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '5012106'}, 'type': 'batter'}]",6.0,Walk,RIGHT,R,Right,4.0,95.0,P,B,153.0,217.0,17,Four-seam FB,FF,,,,,,,,,,,
4018165630203990057,7,Encarnacion-Strand popped out to first.,1,0,False,0,2026-08-17 22:20:54+00:00,4018165630203,N,2,57,Play Result,play-result,Top,2,2nd Inning,1,3,1,3,1,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '5012106'}, 'type': 'batter'}]",6.0,,RIGHT,R,Right,5.0,,P,,105.0,179.0,,,,,,4018165630203060033,33,Pop Out,POP,Pop Out,pop-out,,,
4018165630203990099,8,,1,0,False,0,2026-08-17 22:20:54+00:00,4018165630203,,2,99,End Batter/Pitcher,end-batterpitcher,Top,2,2nd Inning,1,3,1,3,1,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '5012106'}, 'type': 'batter'}]",6.0,,RIGHT,R,Right,5.0,,P,,105.0,179.0,,,,154.0,162.0,,,,,,,,,
4018165630203060033,6,Pitch 5 : Ball In Play,1,0,False,0,2026-08-17 22:20:54+00:00,4018165630203,P,2,33,Pop Out,pop-out,Top,2,2nd Inning,30,3,1,3,1,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '5012106'}, 'type': 'batter'}]",6.0,Pop Out,RIGHT,R,Right,5.0,95.0,P,POP,105.0,179.0,17,Four-seam FB,FF,154.0,162.0,,,,,,,,,
4018165630204010001,1,Shane McClanahan pitches to Jeremiah Jackson,1,0,False,0,2026-08-17 22:21:16+00:00,4018165630204,A,3,1,Start Batter/Pitcher,start-batterpitcher,Top,2,2nd Inning,1,0,0,0,0,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '41264'}, 'type': 'batter'}]",7.0,Now at bat,RIGHT,R,Right,,,,,,,,,,,,,,,,,,,,
4018165630204020037,2,Pitch 1 : Strike 1 Swinging,1,0,False,0,2026-08-17 22:21:16+00:00,4018165630204,P,3,37,Strike Swinging,strike-swinging,Top,2,2nd Inning,30,0,0,0,1,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '41264'}, 'type': 'batter'}]",7.0,Strikeout,RIGHT,R,Right,1.0,95.0,,SS,129.0,141.0,17,Four-seam FB,FF,,,,,,,,,,,
4018165630204030037,3,Pitch 2 : Strike 2 Swinging,1,0,False,0,2026-08-17 22:21:29+00:00,4018165630204,P,3,37,Strike Swinging,strike-swinging,Top,2,2nd Inning,30,0,1,0,2,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '41264'}, 'type': 'batter'}]",7.0,Strikeout,RIGHT,R,Right,2.0,95.0,,SS,105.0,163.0,17,Four-seam FB,FF,,,,,,,,,,,
4018165630204040021,4,Pitch 3 : Strike 2 Foul,1,0,False,0,2026-08-17 22:21:49+00:00,4018165630204,P,3,21,Foul Ball,foul-ball,Top,2,2nd Inning,30,0,2,0,2,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '41264'}, 'type': 'batter'}]",7.0,,RIGHT,R,Right,3.0,97.0,,F,98.0,139.0,17,Four-seam FB,FF,,,,,,,,,,,
4018165630204050005,5,Pitch 4 : Ball 1,1,0,False,0,2026-08-17 22:22:07+00:00,4018165630204,P,3,5,Ball,ball,Top,2,2nd Inning,30,0,2,1,2,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '41264'}, 'type': 'batter'}]",7.0,Walk,RIGHT,R,Right,4.0,87.0,,B,132.0,210.0,6,Changeup,CH,,,,,,,,,,,
4018165630204060021,6,Pitch 5 : Strike 2 Foul,1,0,False,0,2026-08-17 22:22:27+00:00,4018165630204,P,3,21,Foul Ball,foul-ball,Top,2,2nd Inning,30,1,2,1,2,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '41264'}, 'type': 'batter'}]",7.0,,RIGHT,R,Right,5.0,96.0,,F,112.0,168.0,17,Four-seam FB,FF,,,,,,,,,,,
4018165630204070021,7,Pitch 6 : Strike 2 Foul,1,0,False,0,2026-08-17 22:22:46+00:00,4018165630204,P,3,21,Foul Ball,foul-ball,Top,2,2nd Inning,30,1,2,1,2,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '41264'}, 'type': 'batter'}]",7.0,,RIGHT,R,Right,6.0,87.0,,F,82.0,154.0,6,Changeup,CH,,,,,,,,,,,
4018165630204080005,8,Pitch 7 : Ball 2,1,0,False,0,2026-08-17 22:23:06+00:00,4018165630204,P,3,5,Ball,ball,Top,2,2nd Inning,30,1,2,2,2,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '41264'}, 'type': 'batter'}]",7.0,Walk,RIGHT,R,Right,7.0,86.0,,B,81.0,152.0,6,Changeup,CH,,,,,,,,,,,
4018165630299990058,2,Middle of the 2nd inning,1,0,False,0,2026-08-17 22:23:28+00:00,4018165630204,,0,58,End Inning,end-inning,Mid,2,2nd Inning,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4018165630204090037,9,Pitch 8 : Strike 3 Swinging,1,0,False,0,2026-08-17 22:23:28+00:00,4018165630204,P,3,37,Strike Swinging,strike-swinging,Top,2,2nd Inning,30,2,2,2,3,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '41264'}, 'type': 'batter'}]",7.0,Strikeout,RIGHT,R,Right,8.0,80.0,,SS,99.0,208.0,4,Curve,CU,,,,,,,,,,,
4018165630204990057,10,Jackson struck out swinging.,1,0,False,0,2026-08-17 22:23:28+00:00,4018165630204,N,3,57,Play Result,play-result,Top,2,2nd Inning,1,2,3,2,3,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '41264'}, 'type': 'batter'}]",7.0,,RIGHT,R,Right,8.0,,,,99.0,208.0,,,,,,4018165630204090037,37,Strike Swinging,SS,Strikeout,strike-swinging,,,
4018165630204990099,11,,1,0,False,0,2026-08-17 22:23:28+00:00,4018165630204,,3,99,End Batter/Pitcher,end-batterpitcher,Top,2,2nd Inning,1,2,3,2,3,"[{'athlete': {'id': '41199'}, 'type': 'pitcher'}, {'athlete': {'id': '41264'}, 'type': 'batter'}]",7.0,,RIGHT,R,Right,8.0,,,,99.0,208.0,,,,,,,,,,,,,,
4018165630301020021,2,Pitch 1 : Strike 1 Foul,1,0,False,0,2026-08-17 22:25:52+00:00,4018165630301,P,1,21,Foul Ball,foul-ball,Bottom,2,2nd Inning,1,0,0,0,1,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '4679983'}, 'type': 'batter'}]",5.0,,LEFT,L,Left,1.0,92.0,G,F,109.0,152.0,17,Four-seam FB,FF,113.0,148.0,,,,,,,,,
4018165630300000059,1,Bottom of the 2nd inning,1,0,False,0,2026-08-17 22:25:52+00:00,4018165630301,I,0,59,Start Inning,start-inning,Bottom,2,2nd Inning,30,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4018165630301010001,1,Brandon Young pitches to Chandler Simpson,1,0,False,0,2026-08-17 22:25:52+00:00,4018165630301,A,1,1,Start Batter/Pitcher,start-batterpitcher,Bottom,2,2nd Inning,30,0,0,0,0,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '4679983'}, 'type': 'batter'}]",5.0,Now at bat,LEFT,L,Left,,,,,,,,,,,,,,,,,,,,
4018165630301030021,3,Pitch 2 : Strike 2 Foul,1,0,False,0,2026-08-17 22:26:13+00:00,4018165630301,P,1,21,Foul Ball,foul-ball,Bottom,2,2nd Inning,1,0,1,0,2,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '4679983'}, 'type': 'batter'}]",5.0,,LEFT,L,Left,2.0,92.0,G,F,122.0,134.0,17,Four-seam FB,FF,113.0,148.0,,,,,,,,,
4018165630301040005,4,Pitch 3 : Ball 1,1,0,False,0,2026-08-17 22:26:37+00:00,4018165630301,P,1,5,Ball,ball,Bottom,2,2nd Inning,1,0,2,1,2,"[{'athlete': {'id': '4414339'}, 'type': 'pitcher'}, {'athlete': {'id': '4679983'}, 'type': 'batter'}]",5.0,Walk,LEFT,L,Left,3.0,74.0,G,B,72.0,246.0,4,Curve,CU,,,,,,,,,,,
